0,1,2,3,4,5,6,7,8,9,10,11
128.0,21.6,17.984375,15.6,2.0,0.0,7.0,3.0,1.0,90.2057887283044,0.0,0.0
106.0,17.8,15.559375,13.9,2.0,0.0,3.0,3.0,1.0,3.3160963959316225,0.0,0.0
111.0,15.3,13.509375,12.5,0.0,1.0,0.0,3.0,1.0,16.305411783390802,0.0,0.0
108.0,17.3,14.860416666666667,13.3,0.0,2.0,0.0,3.0,1.0,7.055403075398762,0.0,0.0
136.0,21.6,16.775000000000002,11.8,4.0,0.0,2.0,3.0,1.0,118.89502531676544,0.0,0.0
127.0,24.2,19.49270833333333,15.9,4.0,0.0,6.0,3.0,1.0,72.632172862019,0.0,0.0
112.0,16.2,13.869791666666666,11.4,2.0,0.0,1.0,3.0,1.0,18.803348896883993,0.0,0.0
120.0,18.6,14.864583333333334,11.7,0.0,1.0,0.0,3.0,1.0,55.810704294193755,0.0,0.0
129.0,17.2,15.6,13.6,0.0,1.0,0.0,3.0,1.0,95.01913878292612,0.0,0.0
119.0,19.5,14.579166666666667,12.1,0.0,1.0,0.0,3.0,1.0,49.587195202951065,0.0,0.0
103.0,23.5,15.486458333333331,8.6,0.0,2.0,0.0,3.0,1.0,0.4005008693440594,0.0,0.0
116.0,19.2,14.887234042553192,12.9,0.0,2.0,0.0,3.0,1.0,28.179526130145394,0.0,0.0
131.0,14.0,11.658333333333331,9.0,0.0,2.0,0.0,3.0,1.0,101.6905491733909,0.0,0.0
143.0,22.7,16.571875000000002,10.1,4.0,0.0,9.0,5.0,1.0,114.71164583458942,0.0,0.0
106.0,17.8,15.559375,13.9,1.0,0.0,3.0,3.0,1.0,3.3621580977900702,0.0,0.0
120.0,18.6,14.864583333333334,11.7,0.0,1.0,0.0,3.0,1.0,55.449436744586826,0.0,0.0
146.0,27.7,21.0,13.8,3.0,0.0,12.0,7.0,1.0,127.11221327867972,8.0,1.761474265561199
115.0,21.0,16.427083333333332,14.0,3.0,0.0,4.0,3.0,1.0,31.42260635041274,0.0,0.0
117.0,17.2,13.590625,10.4,0.0,1.0,0.0,3.0,1.0,40.53603306575387,0.0,0.0
114.0,24.1,18.190625,13.4,3.0,0.0,3.0,3.0,1.0,27.223948492844475,0.0,0.0
103.0,23.5,15.486458333333331,8.6,0.0,1.0,0.0,3.0,1.0,0.4171322889937694,0.0,0.0
119.0,19.5,14.579166666666667,12.1,0.0,1.0,0.0,3.0,1.0,50.071217595052765,0.0,0.0
103.0,23.5,15.486458333333331,8.6,0.0,2.0,0.0,3.0,1.0,0.40596862343948037,0.0,0.0
120.0,18.6,14.864583333333334,11.7,0.0,1.0,0.0,3.0,1.0,56.81551916427311,0.0,0.0
118.0,21.1,15.591666666666669,9.6,1.0,0.0,1.0,3.0,1.0,45.443251402292056,0.0,0.0
107.0,20.5,16.628125,13.6,1.0,0.0,4.0,3.0,1.0,5.280128546814077,0.0,0.0
132.0,17.5,14.63125,11.6,0.0,2.0,0.0,3.0,1.0,105.0034158912439,0.0,0.0
119.0,19.5,14.579166666666667,12.1,0.0,1.0,0.0,3.0,1.0,27.19547620962852,0.0,0.0
137.0,23.4,17.869791666666668,12.1,0.0,0.0,3.0,7.0,1.0,103.47856723495418,7.0,1.0
125.0,25.9,20.20833333333333,13.6,3.0,0.0,4.0,3.0,1.0,77.3750526706519,0.0,0.0
113.0,23.7,16.219791666666666,8.7,0.0,0.0,2.0,3.0,1.0,23.777218628112774,0.0,0.0
130.0,15.3,13.178125,10.6,0.0,1.0,0.0,3.0,1.0,99.15520071159914,0.0,0.0
110.0,17.0,14.082105263157896,12.7,0.0,2.0,0.0,3.0,1.0,12.45126270927446,0.0,0.0
142.0,20.2,16.372916666666665,12.3,0.0,0.0,8.0,5.0,1.0,121.70365598432741,0.0,0.0
124.0,25.5,20.521875,16.8,3.0,0.0,3.0,3.0,1.0,75.78377304780099,0.0,0.0
104.0,20.2,15.666666666666666,12.5,1.0,0.0,1.0,3.0,1.0,1.0244560593828602,0.0,0.0
121.0,20.5,17.109375,14.3,0.0,1.0,0.0,3.0,1.0,58.809373656656106,0.0,0.0
123.0,26.4,20.24791666666667,13.6,0.0,0.0,2.0,3.0,1.0,68.36313732872524,0.0,0.0
121.0,20.5,17.109375,14.3,0.0,1.0,0.0,3.0,1.0,60.34510701073487,0.0,0.0
123.0,26.4,20.24791666666667,13.6,4.0,0.0,2.0,3.0,1.0,67.6452685470625,0.0,0.0
133.0,18.0,14.339583333333332,12.1,0.0,1.0,0.0,3.0,1.0,108.92487583612166,0.0,0.0
111.0,15.3,13.509375,12.5,0.0,2.0,0.0,3.0,1.0,3.4250159003507363,0.0,0.0
123.0,26.4,20.24791666666667,13.6,4.0,0.0,2.0,3.0,1.0,69.43982391989645,0.0,0.0
116.0,19.2,14.887234042553192,12.9,0.0,1.0,0.0,3.0,1.0,35.87073699165224,0.0,0.0
146.0,27.7,21.0,13.8,4.0,0.0,12.0,7.0,1.0,121.25076214322559,9.0,2.865902138545862
137.0,23.4,17.869791666666668,12.1,1.0,0.0,3.0,4.0,1.0,121.83964100689015,0.0,0.0
139.0,27.8,21.05208333333333,13.0,3.0,0.0,5.0,3.0,1.0,126.4057940367216,0.0,0.0
122.0,24.4,18.8625,13.3,2.0,0.0,1.0,3.0,1.0,64.85382335139221,0.0,0.0
109.0,16.1,14.267708333333337,12.6,0.0,2.0,0.0,3.0,1.0,9.453245706944816,0.0,0.0
144.0,26.0,19.147916666666667,10.9,3.0,0.0,10.0,5.0,1.0,119.24244994252122,0.0,0.0
124.0,25.5,20.521875,16.8,2.0,0.0,3.0,3.0,1.0,72.8455312719534,0.0,0.0
143.0,22.7,16.571875000000002,10.1,0.0,0.0,9.0,6.0,1.0,122.1163012184439,0.0,0.0
120.0,18.6,14.864583333333334,11.7,0.0,2.0,0.0,3.0,1.0,53.96498981417077,0.0,0.0
147.0,29.1,22.22395833333333,15.7,4.0,0.0,13.0,7.0,1.0,116.54448889591345,5.0,1.0
138.0,25.4,19.497916666666665,13.4,2.0,0.0,4.0,5.0,1.0,121.83964100689015,0.0,0.0
137.0,23.4,17.869791666666668,12.1,3.0,0.0,3.0,3.0,1.0,120.8837613341139,0.0,0.0
108.0,17.3,14.860416666666667,13.3,0.0,1.0,0.0,3.0,1.0,7.393066202484961,0.0,0.0
132.0,17.5,14.63125,11.6,0.0,2.0,0.0,3.0,1.0,106.91012675299375,0.0,0.0
130.0,15.3,13.178125,10.6,0.0,2.0,0.0,3.0,1.0,97.75896837770843,0.0,0.0
119.0,19.5,14.579166666666667,12.1,0.0,1.0,0.0,3.0,1.0,49.57160798570699,0.0,0.0
123.0,26.4,20.24791666666667,13.6,4.0,0.0,2.0,3.0,1.0,69.05104520247706,0.0,0.0
134.0,17.8,15.020833333333334,12.8,0.0,2.0,0.0,3.0,1.0,111.98515866024134,0.0,0.0
140.0,28.3,21.43645833333333,16.0,4.0,0.0,6.0,5.0,1.0,121.70365598432741,0.0,0.0
118.0,21.1,15.591666666666669,9.6,0.0,0.0,1.0,3.0,1.0,46.283682571344286,0.0,0.0
130.0,15.3,13.178125,10.6,0.0,2.0,0.0,3.0,1.0,100.42875529792913,0.0,0.0
133.0,18.0,14.339583333333332,12.1,0.0,2.0,0.0,3.0,1.0,110.34544534650523,0.0,0.0
141.0,28.1,22.863541666666663,15.9,2.0,0.0,7.0,5.0,1.0,118.70170157330968,0.0,0.0
131.0,14.0,11.658333333333331,9.0,0.0,1.0,0.0,3.0,1.0,102.56567042962823,0.0,0.0
123.0,26.4,20.24791666666667,13.6,0.0,0.0,2.0,3.0,1.0,60.21291799729654,0.0,0.0
130.0,15.3,13.178125,10.6,0.0,1.0,0.0,3.0,1.0,77.72593829748018,0.0,0.0
124.0,25.5,20.521875,16.8,4.0,0.0,3.0,3.0,1.0,73.31661617679116,0.0,0.0
109.0,16.1,14.267708333333337,12.6,0.0,2.0,0.0,3.0,1.0,9.852858062895969,0.0,0.0
138.0,25.4,19.497916666666665,13.4,2.0,0.0,4.0,5.0,1.0,118.45478683908942,0.0,0.0
142.0,20.2,16.372916666666665,12.3,1.0,0.0,8.0,5.0,1.0,123.12239764091234,0.0,0.0
136.0,21.6,16.775000000000002,11.8,2.0,0.0,2.0,3.0,1.0,119.8564601677455,0.0,0.0
118.0,21.1,15.591666666666669,9.6,2.0,0.0,1.0,3.0,1.0,44.49256428824585,0.0,0.0
143.0,22.7,16.571875000000002,10.1,0.0,0.0,9.0,3.0,1.0,134.43074040505863,0.0,0.0
116.0,19.2,14.887234042553192,12.9,0.0,1.0,0.0,3.0,1.0,35.27083837360988,0.0,0.0
151.0,23.0,19.836458333333336,17.4,0.0,2.0,0.0,5.0,1.0,141.1127092292087,0.0,0.0
131.0,14.0,11.658333333333331,9.0,0.0,2.0,0.0,3.0,1.0,102.42075373269265,0.0,0.0
139.0,27.8,21.05208333333333,13.0,2.0,0.0,5.0,3.0,1.0,125.84747248092478,0.0,0.0
136.0,21.6,16.775000000000002,11.8,1.0,0.0,2.0,5.0,1.0,106.38905271354571,0.0,0.0
121.0,20.5,17.109375,14.3,0.0,1.0,0.0,3.0,1.0,59.33331125244078,0.0,0.0
113.0,23.7,16.219791666666666,8.7,1.0,0.0,2.0,3.0,1.0,24.60786190933327,0.0,0.0
133.0,18.0,14.339583333333332,12.1,0.0,2.0,0.0,3.0,1.0,110.12834650752501,0.0,0.0
154.0,20.0,16.477083333333333,14.2,0.0,2.0,0.0,8.0,1.0,135.7672281876307,15.0,4.237257962809185
120.0,18.6,14.864583333333334,11.7,0.0,1.0,0.0,3.0,1.0,53.724726767465626,0.0,0.0
141.0,28.1,22.863541666666663,15.9,4.0,0.0,7.0,5.0,1.0,124.31520740440725,0.0,0.0
127.0,24.2,19.49270833333333,15.9,2.0,0.0,6.0,3.0,1.0,86.72983714502102,0.0,0.0
131.0,14.0,11.658333333333331,9.0,0.0,2.0,0.0,3.0,1.0,102.28737265602005,0.0,0.0
109.0,16.1,14.267708333333337,12.6,0.0,1.0,0.0,3.0,1.0,10.134342558003622,0.0,0.0
131.0,14.0,11.658333333333331,9.0,0.0,1.0,0.0,3.0,1.0,103.33686076406518,0.0,0.0
134.0,17.8,15.020833333333334,12.8,0.0,2.0,0.0,3.0,1.0,113.68216225862966,0.0,0.0
137.0,23.4,17.869791666666668,12.1,2.0,0.0,3.0,3.0,1.0,121.90958480836537,0.0,0.0
136.0,21.6,16.775000000000002,11.8,3.0,0.0,2.0,3.0,1.0,119.24375861138195,0.0,0.0
113.0,23.7,16.219791666666666,8.7,3.0,0.0,2.0,3.0,1.0,22.848272192607205,0.0,0.0
121.0,20.5,17.109375,14.3,0.0,2.0,0.0,3.0,1.0,58.594113384897724,0.0,0.0
105.0,19.3,15.554166666666664,12.7,1.0,0.0,2.0,3.0,1.0,1.9645347218469218,0.0,0.0
127.0,24.2,19.49270833333333,15.9,1.0,0.0,6.0,3.0,1.0,62.95978067694175,0.0,0.0
113.0,23.7,16.219791666666666,8.7,1.0,0.0,2.0,3.0,1.0,23.911695754986425,0.0,0.0
